date,smp_max,smp_min,smp_mean,supply,month,day,dayofweek,temp_max,temp_min,temp_mean
2018-05-17,153.96,115.02,127.86,69.54,5,17,3,29.2,23.0,25.6125
2018-05-18,153.75,114.09,131.27,66.97,5,18,4,27.1,17.3,22.83333333333333
2018-05-19,155.13,81.54,126.92,61.92,5,19,5,17.6,15.7,16.6375
2018-05-20,138.67,66.54,105.71,61.66,5,20,6,17.7,15.3,16.45
2018-05-21,146.78,123.53,130.97,62.49,5,21,0,19.5,15.7,17.437499999999996
2018-05-22,145.06,120.31,133.14,60.36,5,22,1,26.4,16.9,20.63333333333333
2018-05-23,175.9,120.08,137.1,64.34,5,23,2,22.1,16.2,18.21666666666667
2018-05-24,171.88,120.35,145.74,62.93,5,24,3,23.6,14.5,18.979166666666668
2018-05-25,174.17,120.68,134.43,62.86,5,25,4,23.2,18.0,20.141666666666662
2018-05-26,136.67,124.32,129.48,62.04,5,26,5,22.9,14.9,18.395833333333332
2018-05-27,176.45,122.58,135.18,61.61,5,27,6,22.4,17.0,19.287499999999994
2018-05-28,175.69,123.11,133.92,64.45,5,28,0,23.5,17.8,19.958333333333336
2018-05-29,171.07,124.93,138.52,64.45,5,29,1,25.5,19.1,21.09166666666667
2018-05-30,173.67,124.33,140.81,65.18,5,30,2,23.5,18.9,21.087499999999995
2018-05-31,176.69,124.97,132.31,62.62,5,31,3,21.6,17.1,19.02916666666666
2018-06-01,152.46,135.39,144.78,63.87,6,1,4,23.1,16.3,19.899999999999995
2018-06-02,170.78,126.35,134.85,62.74,6,2,5,24.8,19.6,21.958333333333332
2018-06-03,164.63,126.47,134.25,61.77,6,3,6,23.3,20.5,21.72083333333333
2018-06-04,166.75,126.21,141.64,64.6,6,4,0,25.4,19.7,22.412499999999998
2018-06-05,189.63,126.82,140.21,64.38,6,5,1,22.6,19.2,20.0375
2018-06-06,164.94,127.09,134.7,62.86,6,6,2,22.3,18.9,20.595833333333335
2018-06-07,188.69,112.67,145.34,64.56,6,7,3,23.7,19.1,21.387500000000003
2018-06-08,150.57,135.01,140.51,63.89,6,8,4,22.9,19.2,20.816666666666663
2018-06-09,148.49,111.48,141.16,61.33,6,9,5,26.4,19.0,22.100000000000005
2018-06-10,189.58,112.71,142.21,60.38,6,10,6,20.8,18.9,20.04583333333333
2018-06-11,189.93,130.94,144.93,63.24,6,11,0,21.4,18.0,19.420833333333334
2018-06-12,148.51,133.21,142.29,63.02,6,12,1,23.6,18.9,21.070833333333336
2018-06-13,151.1,133.15,140.6,62.43,6,13,2,28.2,17.9,21.891666666666666
2018-06-14,166.13,130.71,144.33,64.73,6,14,3,25.1,19.8,22.09583333333333
2018-06-15,158.7,127.22,135.96,63.37,6,15,4,23.5,19.3,21.320833333333333
2018-06-16,163.96,127.74,135.25,61.36,6,16,5,22.5,18.4,20.241666666666667
2018-06-17,164.8,127.43,139.19,61.55,6,17,6,24.2,18.9,20.79583333333333
2018-06-18,162.71,126.58,140.62,65.28,6,18,0,23.6,19.6,21.754166666666663
2018-06-19,154.82,110.71,141.52,66.21,6,19,1,23.4,20.0,22.09583333333333
2018-06-20,160.69,85.85,140.43,66.29,6,20,2,24.3,19.7,21.845833333333328
2018-06-21,159.66,126.09,146.03,67.61,6,21,3,26.6,20.3,22.491666666666664
2018-06-22,163.85,130.62,144.27,67.33,6,22,4,25.2,20.4,22.86666666666667
2018-06-23,162.2,125.93,136.96,63.98,6,23,5,24.5,20.1,22.429166666666664
2018-06-24,163.81,126.45,137.05,64.67,6,24,6,26.7,20.8,23.879166666666663
2018-06-25,158.12,126.14,143.37,69.63,6,25,0,26.6,21.4,23.89166666666667
2018-06-26,149.9,126.02,141.39,77.04,6,26,1,31.8,24.3,28.02916666666667
2018-06-27,150.95,126.45,142.24,74.48,6,27,2,28.8,24.6,26.525000000000002
2018-06-28,151.13,125.29,139.11,74.48,6,28,3,28.3,23.6,25.662500000000005
2018-06-29,170.55,126.22,138.47,73.4,6,29,4,28.3,23.5,25.220833333333335
2018-06-30,186.8,87.17,135.26,66.93,6,30,5,26.0,22.4,23.95
2018-07-01,189.6,124.2,153.22,68.48,7,1,6,30.0,22.7,27.05416666666666
2018-07-02,181.67,122.39,148.69,74.89,7,2,0,31.2,24.4,27.11666666666667
2018-07-03,149.19,130.93,143.05,69.55,7,3,1,25.1,22.9,24.13333333333333
2018-07-04,148.23,123.28,142.34,75.19,7,4,2,29.1,24.2,26.16666666666666
2018-07-05,157.89,69.48,132.74,74.46,7,5,3,26.3,23.6,24.82083333333334
2018-07-06,153.99,67.72,139.86,71.7,7,6,4,24.0,21.8,22.766666666666666
2018-07-07,181.92,68.51,145.15,63.2,7,7,5,22.3,20.7,21.445833333333336
2018-07-08,153.47,59.88,130.17,63.0,7,8,6,22.4,19.6,20.762500000000003
2018-07-09,161.81,56.97,132.78,73.64,7,9,0,28.3,21.1,24.2625
2018-07-10,172.55,131.08,153.14,78.7,7,10,1,32.2,24.7,27.974999999999998
2018-07-11,175.15,127.66,153.37,82.91,7,11,2,34.3,28.1,30.233333333333334
2018-07-12,195.16,138.39,157.29,83.64,7,12,3,29.9,26.1,27.8875
2018-07-13,162.81,146.84,154.04,82.69,7,13,4,29.1,25.4,26.837500000000002
2018-07-14,187.16,138.4,157.14,78.97,7,14,5,29.5,24.8,26.841666666666665
2018-07-15,180.81,124.78,148.33,78.25,7,15,6,29.6,24.6,27.037499999999994
2018-07-16,173.55,126.72,154.81,85.44,7,16,0,29.1,24.8,27.05416666666667
2018-07-17,187.65,134.21,159.18,85.99,7,17,1,29.4,24.9,27.133333333333326
2018-07-18,196.0,122.9,155.71,85.51,7,18,2,29.8,25.6,27.700000000000003
2018-07-19,192.66,137.96,158.08,86.7,7,19,3,30.4,25.0,27.712500000000002
2018-07-20,237.49,138.49,164.65,88.53,7,20,4,31.3,25.9,28.80416666666667
2018-07-21,188.67,137.9,156.28,84.71,7,21,5,33.8,25.8,28.737499999999997
2018-07-22,188.06,137.65,153.98,79.81,7,22,6,30.0,28.2,29.308333333333334
2018-07-23,194.48,138.01,164.75,90.07,7,23,0,33.3,27.3,30.075
2018-07-24,191.64,138.41,160.71,89.97,7,24,1,31.1,27.7,29.3125
2018-07-25,193.35,138.39,158.57,92.74,7,25,2,31.5,27.8,29.329166666666666
2018-07-26,193.89,141.27,160.8,92.05,7,26,3,31.3,27.5,29.104166666666657
2018-07-27,190.02,138.48,161.61,93.11,7,27,4,31.9,27.5,29.25
2018-07-28,193.6,137.79,155.69,88.82,7,28,5,30.8,27.5,29.0
2018-07-29,195.26,136.9,154.16,86.99,7,29,6,32.5,27.3,29.20416666666667
2018-07-30,183.46,130.52,157.47,88.39,7,30,0,30.9,28.1,29.00833333333334
2018-07-31,189.61,138.33,161.64,89.98,7,31,1,31.5,26.5,28.704166666666662
2018-08-01,191.07,141.6,162.28,92.4,8,1,2,32.3,26.3,29.11666666666666
2018-08-02,192.35,141.75,162.43,92.27,8,2,3,31.0,26.8,28.975000000000005
2018-08-03,189.78,141.77,161.79,89.04,8,3,4,33.4,28.2,29.937499999999996
2018-08-04,195.55,142.01,162.27,88.3,8,4,5,31.6,27.8,29.566666666666666
2018-08-05,188.12,141.66,157.76,87.44,8,5,6,33.3,27.5,29.974999999999998
2018-08-06,182.5,140.03,166.06,94.94,8,6,0,32.0,28.2,29.854166666666668
2018-08-07,194.44,141.77,159.01,94.05,8,7,1,31.5,28.0,29.612499999999994
2018-08-08,192.27,141.81,166.09,93.7,8,8,2,31.4,26.9,29.137500000000003
2018-08-09,183.46,141.77,166.85,93.81,8,9,3,32.4,27.6,29.537499999999998
2018-08-10,195.84,141.77,163.26,94.18,8,10,4,32.1,27.5,29.829166666666666
2018-08-11,195.58,141.87,159.61,86.47,8,11,5,31.9,27.9,29.075000000000006
2018-08-12,172.46,141.67,156.64,85.67,8,12,6,32.6,26.1,29.720833333333335
2018-08-13,190.77,136.36,166.37,94.15,8,13,0,33.8,28.8,31.04583333333333
2018-08-14,193.17,141.77,164.43,94.66,8,14,1,34.4,29.0,31.429166666666664
2018-08-15,194.22,141.68,163.58,90.4,8,15,2,32.4,27.9,29.762500000000003
2018-08-16,195.4,141.45,159.37,85.75,8,16,3,28.8,26.5,27.833333333333332
2018-08-17,195.1,141.81,159.15,76.87,8,17,4,28.0,24.6,26.212500000000002
2018-08-18,180.96,142.06,157.84,75.66,8,18,5,30.0,24.5,26.550000000000008
2018-08-19,188.58,141.97,150.05,78.31,8,19,6,32.2,24.8,28.075
2018-08-20,193.76,140.67,160.14,85.18,8,20,0,31.8,27.5,29.166666666666675
2018-08-21,178.02,139.98,156.51,85.92,8,21,1,30.2,25.1,28.066666666666663
2018-08-22,180.84,140.76,151.56,84.2,8,22,2,29.7,26.2,28.050000000000008
2018-08-23,186.53,133.68,154.32,71.37,8,23,3,28.5,25.7,26.554166666666664
2018-08-24,182.2,136.66,161.45,78.36,8,24,4,29.4,25.0,27.049999999999997
2018-08-25,152.62,140.98,146.93,77.62,8,25,5,30.5,24.9,26.71666666666667
2018-08-26,181.71,140.6,152.21,77.68,8,26,6,31.6,26.1,28.399999999999995
2018-08-27,174.47,140.21,158.96,86.16,8,27,0,31.2,26.5,28.487499999999994
2018-08-28,188.05,137.36,160.68,85.52,8,28,1,30.0,26.2,27.804166666666664
2018-08-29,182.67,133.71,160.84,85.31,8,29,2,33.5,25.4,28.40416666666667
2018-08-30,174.29,134.14,159.08,87.98,8,30,3,34.4,26.0,29.000000000000004
2018-08-31,173.88,130.84,157.16,87.9,8,31,4,33.0,26.6,29.862499999999994
2018-09-01,191.98,138.09,159.37,77.7,9,1,5,28.9,23.4,26.20833333333334
2018-09-02,192.16,144.57,160.98,75.6,9,2,6,28.0,22.7,24.850000000000005
2018-09-03,184.94,146.21,164.31,80.97,9,3,0,30.7,24.3,26.995833333333334
2018-09-04,197.9,144.31,167.35,77.07,9,4,1,28.4,23.7,26.27916666666667
2018-09-05,182.72,142.5,165.95,76.07,9,5,2,30.3,23.4,26.750000000000004
2018-09-06,183.49,145.52,163.21,74.66,9,6,3,28.4,24.6,26.17916666666666
2018-09-07,187.05,143.98,160.74,72.23,9,7,4,26.7,21.2,24.370833333333334
2018-09-08,182.17,146.63,163.1,64.52,9,8,5,24.5,19.9,22.633333333333336
2018-09-09,192.99,134.33,160.6,64.55,9,9,6,26.0,19.3,22.849999999999998
2018-09-10,181.2,142.27,164.46,66.27,9,10,0,24.9,20.5,22.925
2018-09-11,159.39,136.48,153.44,67.07,9,11,1,23.7,21.4,22.25
2018-09-12,161.79,140.2,154.31,70.07,9,12,2,24.7,21.6,22.991666666666664
2018-09-13,182.81,88.82,159.42,69.73,9,13,3,24.2,21.6,23.316666666666666
2018-09-14,164.46,88.86,152.8,73.81,9,14,4,27.4,23.1,25.100000000000005
2018-09-15,202.18,146.58,156.98,71.67,9,15,5,27.5,23.5,25.141666666666666
2018-09-16,192.15,59.25,149.37,70.28,9,16,6,28.1,23.1,25.470833333333342
2018-09-17,165.94,57.35,142.54,71.83,9,17,0,27.2,23.4,24.575
2018-09-18,175.98,136.16,161.28,71.48,9,18,1,27.2,23.4,24.925
2018-09-19,202.38,148.84,164.38,69.06,9,19,2,24.7,21.4,23.299999999999997
2018-09-20,202.36,148.84,168.13,75.67,9,20,3,27.0,22.7,25.3125
2018-09-21,173.15,154.78,163.15,75.01,9,21,4,27.2,23.4,24.541666666666668
2018-09-22,202.69,155.17,168.32,67.86,9,22,5,27.0,22.4,24.42916666666666
2018-09-23,181.03,148.72,166.88,64.43,9,23,6,28.5,21.4,24.2625
2018-09-24,202.45,148.72,159.74,55.95,9,24,0,23.5,19.9,22.13333333333333
2018-09-25,203.75,148.72,163.38,59.69,9,25,1,23.2,19.4,21.40416666666667
2018-09-26,181.36,148.72,165.43,62.48,9,26,2,24.0,20.9,22.28333333333333
2018-09-27,174.3,156.65,164.26,64.55,9,27,3,23.5,18.7,21.204166666666666
2018-09-28,197.92,148.84,172.56,65.37,9,28,4,23.8,19.5,21.5625
2018-09-29,198.46,148.66,169.26,62.83,9,29,5,22.3,18.6,20.787499999999998
2018-09-30,200.6,148.72,162.18,61.44,9,30,6,24.9,20.5,21.98333333333333
2018-10-01,177.51,145.83,162.93,63.94,10,1,0,23.4,20.1,21.200000000000003
2018-10-02,179.15,145.83,160.02,64.02,10,2,1,23.3,18.0,20.874999999999996
2018-10-03,195.92,144.98,156.42,62.83,10,3,2,21.7,16.6,19.195833333333333
2018-10-04,155.12,144.99,149.29,64.79,10,4,3,21.9,18.0,20.154166666666665
2018-10-05,184.71,146.21,156.58,66.22,10,5,4,22.9,20.7,21.349999999999998
2018-10-06,185.08,145.8,156.5,61.61,10,6,5,24.5,19.9,21.508333333333336
2018-10-07,201.46,146.03,151.21,60.22,10,7,6,23.3,18.8,20.733333333333334
2018-10-08,185.02,145.6,156.0,63.3,10,8,0,21.6,17.1,19.25
2018-10-09,186.79,145.86,156.04,63.08,10,9,1,22.2,17.5,20.17083333333333
2018-10-10,186.37,146.26,155.69,63.75,10,10,2,20.2,16.5,18.65416666666667
2018-10-11,183.1,145.68,163.67,63.92,10,11,3,18.2,15.4,16.254166666666666
2018-10-12,182.72,145.83,163.03,63.89,10,12,4,17.7,13.6,15.783333333333333
2018-10-13,153.3,145.78,147.91,62.78,10,13,5,18.3,11.8,15.141666666666666
2018-10-14,201.46,145.25,152.53,62.41,10,14,6,19.7,13.2,17.095833333333335
2018-10-15,191.45,145.81,159.02,64.62,10,15,0,20.2,17.1,18.816666666666666
2018-10-16,173.94,145.14,158.66,65.52,10,16,1,19.3,14.1,16.1375
2018-10-17,180.46,145.86,164.75,64.91,10,17,2,19.7,13.2,16.5125
2018-10-18,182.92,145.83,165.93,65.57,10,18,3,18.4,15.3,16.691666666666666
2018-10-19,180.63,145.83,163.96,64.94,10,19,4,19.2,13.1,16.095833333333328
2018-10-20,186.22,145.25,158.1,63.03,10,20,5,19.8,12.7,16.154166666666665
2018-10-21,182.81,145.15,159.32,61.18,10,21,6,20.2,13.9,16.97083333333333
2018-10-22,196.46,145.73,163.55,65.5,10,22,0,20.3,14.5,17.270833333333332
2018-10-23,201.17,144.86,162.86,64.52,10,23,1,21.3,16.5,18.412499999999998
2018-10-24,175.53,145.42,162.01,64.4,10,24,2,19.0,14.0,16.97083333333333
2018-10-25,173.0,145.83,160.86,64.21,10,25,3,22.5,11.7,16.975
2018-10-26,200.68,145.65,164.69,64.43,10,26,4,21.2,17.2,18.595833333333328
2018-10-27,174.85,145.56,160.75,62.45,10,27,5,17.0,14.5,15.733333333333336
2018-10-28,201.49,145.69,159.61,61.19,10,28,6,20.6,13.2,17.316666666666666
2018-10-29,195.83,145.83,162.77,64.8,10,29,0,21.6,15.3,18.133333333333336
2018-10-30,187.53,145.83,155.85,65.53,10,30,1,16.7,13.6,15.004166666666665
2018-10-31,201.43,146.24,157.79,65.95,10,31,2,16.8,11.8,14.0
2018-11-01,203.85,154.32,168.74,66.26,11,1,3,16.1,11.5,13.487499999999999
2018-11-02,171.9,142.44,161.82,65.76,11,2,4,17.9,9.9,14.054166666666667
2018-11-03,177.65,141.48,163.33,63.87,11,3,5,18.1,11.5,14.949999999999998
2018-11-04,179.9,141.9,165.42,62.7,11,4,6,19.2,12.4,15.279166666666667
2018-11-05,205.86,145.81,168.12,65.79,11,5,0,18.4,10.6,14.837499999999999
2018-11-06,204.17,144.71,168.46,66.14,11,6,1,19.7,13.2,16.279166666666665
2018-11-07,193.55,149.94,161.39,65.59,11,7,2,18.4,16.1,17.241666666666667
2018-11-08,187.11,149.94,160.19,66.9,11,8,3,20.2,15.2,18.012499999999996
2018-11-09,180.57,149.94,163.48,66.77,11,9,4,16.7,11.8,15.133333333333333
2018-11-10,185.79,149.58,166.77,64.49,11,10,5,17.5,9.8,13.44166666666667
2018-11-11,167.48,100.04,152.12,62.92,11,11,6,17.7,10.7,14.408333333333333
2018-11-12,184.04,133.73,165.63,67.05,11,12,0,15.4,13.1,13.9
2018-11-13,185.26,143.01,162.92,67.35,11,13,1,15.5,12.5,13.779166666666669
2018-11-14,190.0,147.26,164.99,68.11,11,14,2,15.6,10.3,13.425000000000002
2018-11-15,182.36,141.48,159.4,66.41,11,15,3,18.6,11.4,15.420833333333334
2018-11-16,171.31,101.11,154.59,67.26,11,16,4,17.1,14.0,15.220833333333333
2018-11-17,172.02,99.67,156.76,66.29,11,17,5,15.1,10.3,12.745833333333337
2018-11-18,166.53,95.48,148.43,66.14,11,18,6,14.2,9.8,12.016666666666666
2018-11-19,161.95,134.92,154.05,69.59,11,19,0,15.2,11.9,13.249999999999998
2018-11-20,163.5,147.68,156.51,70.5,11,20,1,15.4,10.5,12.858333333333334
2018-11-21,160.43,144.61,154.65,69.77,11,21,2,16.7,10.2,13.108333333333333
2018-11-22,169.43,146.41,156.96,73.43,11,22,3,13.3,8.7,10.645833333333332
2018-11-23,206.5,149.07,162.23,73.38,11,23,4,12.3,7.6,9.754166666666665
2018-11-24,177.86,102.11,152.31,67.55,11,24,5,18.8,9.1,13.733333333333334
2018-11-25,183.49,98.81,153.78,66.51,11,25,6,15.5,10.9,13.179166666666667
2018-11-26,165.59,99.82,154.21,69.48,11,26,0,18.1,10.5,14.158333333333333
2018-11-27,163.26,139.53,155.4,69.31,11,27,1,16.3,11.8,13.966666666666669
2018-11-28,204.02,140.26,163.78,71.08,11,28,2,15.6,10.0,13.133333333333335
2018-11-29,204.23,144.53,162.1,70.04,11,29,3,17.2,8.6,12.762500000000001
2018-11-30,185.96,149.17,164.16,69.44,11,30,4,15.9,10.1,13.008333333333331
2018-12-01,189.08,106.18,169.49,67.57,12,1,5,15.6,11.4,13.404166666666669
2018-12-02,193.06,88.98,161.04,64.17,12,2,6,20.4,13.9,17.245833333333334
2018-12-03,196.23,160.5,173.87,67.14,12,3,0,21.7,17.2,18.958333333333332
2018-12-04,194.37,140.39,175.42,70.67,12,4,1,17.4,11.0,14.329166666666664
2018-12-05,196.52,142.83,170.85,73.29,12,5,2,11.1,8.3,9.870833333333334
2018-12-06,219.62,155.96,174.03,75.18,12,6,3,12.3,8.3,9.629166666666666
2018-12-07,216.15,156.96,178.78,81.61,12,7,4,10.3,3.0,5.433333333333333
2018-12-08,217.74,151.6,168.4,80.06,12,8,5,6.1,2.7,4.224999999999999
